Date, Open, High, Low, Close, Volume
08/18/23, 214.12, 217.58, 212.36, 215.49, 136276609
08/17/23, 226.06, 226.74, 218.83, 219.22, 120718398
08/16/23, 228.02, 233.97, 225.38, 225.60, 112484492
08/15/23, 238.73, 240.50, 232.61, 232.96, 88197602
08/14/23, 235.70, 240.66, 233.75, 239.76, 98595328
08/11/23, 241.77, 243.79, 238.02, 242.65, 99038641
08/10/23, 245.40, 251.80, 243.00, 245.34, 109498602
08/09/23, 250.87, 251.10, 241.90, 242.19, 101596305
08/08/23, 247.45, 250.92, 245.01, 249.70, 96642180
08/07/23, 251.45, 253.6511, 242.76, 251.45, 111097906
08/04/23, 260.97, 264.77, 253.11, 253.86, 99539914
08/03/23, 252.04, 260.49, 252.00, 259.32, 97829555
08/02/23, 255.57, 259.52, 250.49, 254.11, 101752898
08/01/23, 266.26, 266.47, 260.25, 261.07, 83645719
07/31/23, 267.48, 269.08, 263.78, 267.43, 84582172
07/28/23, 259.86, 267.25, 258.2312, 266.44, 111446000
07/27/23, 268.31, 269.13, 255.30, 255.71, 103697297
07/26/23, 263.25, 268.04, 261.75, 264.35, 95856180
07/25/23, 272.38, 272.90, 265.00, 265.28, 112757297
07/24/23, 255.85, 269.85, 254.12, 269.06, 137004984
07/21/23, 268.00, 268.00, 255.80, 260.02, 161796094
07/20/23, 279.56, 280.93, 261.20, 262.90, 175158297
07/19/23, 296.04, 299.29, 289.5201, 291.26, 142355391
07/18/23, 290.15, 295.26, 286.01, 293.34, 112434703
07/17/23, 286.625, 292.23, 283.57, 290.38, 131569594
07/14/23, 277.01, 285.30, 276.31, 281.38, 120062398
07/13/23, 274.59, 279.45, 270.60, 277.90, 112681508
07/12/23, 276.325, 276.52, 271.46, 271.99, 95672141
07/11/23, 268.65, 270.90, 266.37, 269.79, 91972359
07/10/23, 276.47, 277.52, 265.10, 269.61, 119425398
07/07/23, 278.43, 280.78, 273.77, 274.43, 113879203
07/06/23, 278.09, 279.97, 272.88, 276.54, 120707398
07/05/23, 278.82, 283.85, 277.60, 282.48, 131530891
07/03/23, 276.49, 284.25, 275.11, 279.82, 118999000
06/30/23, 260.60, 264.45, 259.89, 261.77, 112620797
06/29/23, 258.03, 260.74, 253.61, 257.50, 131283406
06/28/23, 249.70, 259.88, 248.89, 256.24, 159770797
06/27/23, 243.24, 250.3899, 240.85, 250.21, 164968188
06/26/23, 250.065, 258.37, 240.70, 241.05, 179990594
06/23/23, 259.29, 262.45, 252.80, 256.60, 177460797
06/22/23, 250.77, 265.00, 248.25, 264.61, 166875906
06/21/23, 275.13, 276.99, 257.78, 259.46, 211797109
06/20/23, 261.50, 274.75, 261.12, 274.45, 165611203
06/16/23, 258.92, 263.60, 257.2091, 260.54, 167915594
06/15/23, 248.40, 258.95, 247.29, 255.90, 160171203
06/14/23, 260.17, 261.57, 250.50, 256.79, 170575500
06/13/23, 253.51, 259.68, 251.34, 258.71, 162384297
06/12/23, 247.94, 250.97, 244.59, 249.83, 150740500
06/09/23, 249.07, 252.42, 242.02, 244.40, 200242406
